"","ret","mvf","pst","jgw","hfn","dgm","cel","acc","app","aut","bar","cbs","eap","ent","gro"
"71",-0.287241620111733,0.167346787357174,0.235579973467153,-0.0123511261768423,0.766411222236655,-0.0278732937376258,-0.276770464242416,-0.820686563561441,-0.132339574622796,0.0378015451726494,0.0776844452387642,-0.186767719732415,-0.421305569053178,-0.500327102803738,0.199392854988843
"72",-0.268010538738099,0.252598897648781,0.533809607808549,0.408743187272825,0.278496690155883,0.0125489926425091,-0.148429649130256,-0.827359736570715,-0.293238451689154,0.048308549701815,0.0683185302612428,-0.0658794912076197,-0.379485899675569,-0.426128229718271,0.229217384363651
"73",-0.310767353384538,-0.0958817849796429,0.15917256090715,0.31124766445461,0.131433550087127,-0.0281858292239807,-0.206733947380021,-0.763980831933604,-0.250447215295097,0.0647050735597401,-0.0215786181751584,-0.133033425639016,-0.432980300517614,-0.399962385327492,0.102685197679126
"74",-0.305520986143654,0.0943406351625482,0.294507340991105,0.36890416516207,0.429072656029912,-0.0915143424385565,-0.18665541951325,-0.803541572889203,-0.189110344827586,-0.0939303229093714,0.0929467777032409,-0.115380023875843,-0.365894354848942,-0.486277082009553,0.10806724009269
"75",-0.232131147540985,0.279333544682797,0.151508471026551,0.374943289372819,0.623538538261208,0.0723069710411479,-0.0474546607686209,-0.77445090614576,-0.109956446434911,0.102704161632776,0.0707302871502591,-0.0524325397239951,-0.303835970019935,-0.292034722399001,0.204381016922127
"76",-0.201521781026278,0.170584427049613,0.0222706287795023,0.496168780294615,0.40409542542997,0.117200580421922,0.158781535207284,-0.763394649121276,-0.00173827939554627,0.16495270567532,0.353792561600136,-0.0869904507649649,-0.262304782168061,-0.302617201335354,0.222633506072551
"77",-0.230954587581094,0.096234396599213,0.267465584765832,0.220753634043384,0.307587052939512,0.0423858382301476,0.119481952445983,-0.737971953900755,-0.0843314988669499,0.0626026647198394,0.160373013176278,-0.122846960997826,-0.306181995376725,-0.341393711284776,0.218957037759623
"78",-0.086651500930624,0.150382137852255,0.290488911869468,0.682261720477664,0.220795094363075,-0.00292737981871338,0.324099902692183,-0.589311537652972,-0.00215114922412496,0.154888592113586,0.312184416816224,0.139887675900804,-0.158969947476275,-0.250638931672394,0.14598623634596
"79",-0.17173720533669,-0.0171461980413949,0.511697106505236,0.70431035624567,0.554771254426752,0.107897054506312,0.019518842127551,-0.67778531051402,0.0556711717725416,0.0254579846086092,0.313736170212765,-0.0694197700532946,-0.212815453733452,-0.414322840683163,0.134670767784025
"80",-0.17348001331737,0.136205968884871,0.366292757235837,0.42270735406616,0.444011642838799,0.0462309656672648,0.3047116898742,-0.681458678866381,0.04084963666853,0.072775475150292,0.226185731367081,-0.0547033004862535,-0.221130051810227,-0.349196479816338,0.0853658536585367
"81",-0.160660301747773,0.0903686787833142,0.476751680324097,0.924060582406384,0.37725794797688,0.0287297921478051,0.244694605027426,-0.658070629209455,0.165100208361443,0.0704854661378571,0.268008973550382,-0.0665644400430204,-0.209910555218838,-0.276829243416354,0.118897907854121
"82",-0.15950348892163,0.0983706459683129,0.334601491046036,0.390246415456707,0.491358861402915,-0.00459909444186923,0.258923871635426,-0.648695406408847,0.157452314176363,0.042333054475663,0.248613288823701,-0.0162130304329222,-0.185617798967028,-0.311938768179828,0.09600163882526
"83",-0.138964179975815,0.253778978010035,0.294564875170541,0.503784106333179,0.417962232168869,0.105058291877112,0.0737097699880784,-0.619114975401249,0.13761234166018,0.0709913225728096,0.172633253778839,-0.072635189625695,-0.197268938108856,-0.222929049374483,0.123266772237457
"84",-0.125459145623219,0.226210669660987,0.187407330781696,0.503627000903261,0.333593328133437,0.0755860727048219,0.389137992457279,-0.583565058970178,0.117684805833113,0.121395579447305,0.15945594652307,-0.0365419377185167,-0.181303996890975,-0.246400264675841,0.12042658886611
"85",-0.106449659888172,0.138663544367316,0.635520553005111,0.60734601959239,0.233966116335225,-0.0372252952608765,0.235237948262886,-0.573253841213853,0.0514481811942376,0.106339077604975,0.272659500693483,-0.0104434097732942,-0.159675245290117,-0.180749075103754,0.174775441809715
