GEOID,NAME,variable,estimate,moe,geometry
25025120600,"Census Tract 1206, Suffolk County, Massachusetts",B05001_006,212,197,"list(list(c(-71.111669, -71.110693, -71.109938, -71.108452, -71.106788, -71.105131, -71.105795, -71.106673, -71.107236, -71.110392, -71.112764, -71.111669, 42.31954, 42.320753, 42.322025, 42.322389, 42.321156, 42.319278, 42.318404, 42.317268, 42.316377, 42.3167, 42.317917, 42.31954)))"
25025140102,"Census Tract 1401.02, Suffolk County, Massachusetts",B05001_006,568,241,"list(list(c(-71.146127, -71.143804, -71.142834, -71.140592, -71.140196, -71.138103, -71.139394, -71.139141, -71.136285, -71.135978, -71.132333, -71.136434, -71.13623, -71.133965, -71.132195, -71.130958, -71.130589, -71.130115, -71.128967, -71.128992, -71.129004, -71.131368, -71.132151, -71.133058, -71.133772, -71.135267, -71.13631, -71.139241, -71.142681, -71.143498, -71.143869, -71.144069, -71.146127, 42.252964, 42.254436, 42.255943, 42.258365, 42.258456, 42.255307, 42.252523, 42.248985, 42.246316, 
42.246856, 42.24823, 42.249656, 42.251046, 42.254313, 42.253683, 42.252223, 42.251776, 42.251171, 42.249643, 42.247992, 42.245995, 42.240089, 42.239203, 42.239479, 42.239642, 42.238163, 42.23634, 42.23366, 42.235998, 42.240065, 42.241841, 42.242819, 42.252964)))"
25025160501,"Census Tract 1605.01, Suffolk County, Massachusetts",B05001_006,1442,399,"list(list(c(-71.03781, -71.036831, -71.036232, -71.035357, -71.032188, -71.031572, -71.030996, -71.029941, -71.029168, -71.028433, -71.026753, -71.027488, -71.02909, -71.030577, -71.029643, -71.030379, -71.032955, -71.035381, -71.036525, -71.035584, -71.038062, -71.03781, 42.400671, 42.401272, 42.402455, 42.402119, 42.399399, 42.399885, 42.400217, 42.399695, 42.399058, 42.399468, 42.397834, 42.39741, 42.396514, 42.395675, 42.395297, 42.394883, 42.395408, 42.395917, 42.39692, 42.397466, 42.399906, 
42.400671)))"
25025050300,"Census Tract 503, Suffolk County, Massachusetts",B05001_006,700,206,"list(list(c(-71.046995, -71.046113, -71.045195, -71.044982, -71.040029, -71.039899, -71.039744, -71.039978, -71.039075, -71.03903, -71.040294, -71.041255, -71.038919, -71.040855, -71.043396, -71.04445, -71.045734, -71.047381, -71.046995, 42.372597, 42.374798, 42.377097, 42.378543, 42.37865, 42.37712, 42.375298, 42.374601, 42.374167, 42.372371, 42.370739, 42.369535, 42.368504, 42.367488, 42.364598, 42.365793, 42.368634, 42.371208, 42.372597)))"
25025050600,"Census Tract 506, Suffolk County, Massachusetts",B05001_006,1232,478,"list(list(c(-71.03903, -71.039075, -71.03878, -71.036984, -71.034449, -71.034742, -71.033923, -71.036989, -71.037643, -71.03866, -71.040294, -71.03903, 42.372371, 42.374167, 42.374927, 42.373958, 42.372711, 42.372461, 42.371932, 42.369287, 42.369577, 42.370009, 42.370739, 42.372371)))"
25025081500,"Census Tract 815, Suffolk County, Massachusetts",B05001_006,227,85,"list(list(c(-71.095305, -71.093146, -71.095398, -71.095398, -71.093472, -71.092905, -71.091798, -71.090956, -71.090054, -71.088788, -71.0896, -71.091941, -71.092476, -71.091373, -71.090238, -71.091294, -71.091619, -71.092964, -71.093559, -71.094274, -71.097086, -71.095305, 42.318825, 42.3208, 42.322054, 42.32325, 42.323288, 42.326878, 42.325981, 42.325022, 42.324688, 42.324218, 42.323394, 42.321692, 42.321307, 42.320423, 42.319213, 42.317605, 42.316997, 42.316751, 42.315515, 42.315634, 42.317028, 
42.318825)))"
25025090400,"Census Tract 904, Suffolk County, Massachusetts",B05001_006,788,429,"list(list(c(-71.078483, -71.078215, -71.077814, -71.077749, -71.077746, -71.077115, -71.075522, -71.074056, -71.073712, -71.072411, -71.072204, -71.071276, -71.069698, -71.070167, -71.070388, -71.073011, -71.072825, -71.073145, -71.072138, -71.073171, -71.074649, -71.075668, -71.077728, -71.078823, -71.078483, 42.315232, 42.315871, 42.318296, 42.319284, 42.320431, 42.320448, 42.320573, 42.320756, 42.32084, 42.321305, 42.321359, 42.32016, 42.318947, 42.317927, 42.317441, 42.317035, 42.316544, 42.314217, 
42.313657, 42.312222, 42.312841, 42.313226, 42.314062, 42.314608, 42.315232)))"
25025091900,"Census Tract 919, Suffolk County, Massachusetts",B05001_006,644,363,"list(list(c(-71.079217, -71.078425, -71.077264, -71.076782, -71.076185, -71.074161, -71.073117, -71.071426, -71.071569, -71.071859, -71.072011, -71.072299, -71.072927, -71.073641, -71.073072, -71.072269, -71.074289, -71.076289, -71.078852, -71.079217, 42.301191, 42.303227, 42.304745, 42.305189, 42.305046, 42.30491, 42.304672, 42.303407, 42.30243, 42.301839, 42.301464, 42.299937, 42.299579, 42.299371, 42.298586, 42.296675, 42.296556, 42.297313, 42.296708, 42.301191)))"
25025092400,"Census Tract 924, Suffolk County, Massachusetts",B05001_006,1035,482,"list(list(c(-71.09135, -71.089635, -71.086992, -71.086791, -71.085903, -71.084704, -71.083907, -71.082914, -71.08141, -71.08046, -71.079538, -71.078852, -71.078481, -71.078195, -71.078147, -71.079534, -71.080876, -71.082485, -71.083074, -71.087839, -71.087997, -71.088149, -71.089212, -71.089779, -71.093173, -71.09135, 42.296922, 42.297498, 42.298142, 42.298774, 42.301381, 42.300423, 42.299709, 42.298663, 42.299002, 42.296388, 42.296563, 42.296708, 42.294346, 42.292498, 42.292022, 42.292439, 42.292823, 
42.293287, 42.293473, 42.294911, 42.294939, 42.294415, 42.29397, 42.292868, 42.294613, 42.296922)))"
25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",B05001_006,514,117,"list(list(c(-71.132106, -71.130167, -71.129509, -71.128344, -71.125201, -71.125024, -71.124236, -71.12126, -71.121311, -71.1224, -71.123518, -71.124697, -71.124755, -71.126215, -71.12858, -71.129746, -71.130033, -71.130868, -71.131071, -71.131447, -71.132106, 42.353061, 42.352828, 42.352747, 42.352604, 42.352245, 42.352236, 42.352242, 42.351872, 42.351675, 42.351808, 42.351486, 42.35126, 42.35123, 42.350412, 42.349696, 42.34885, 42.349218, 42.350136, 42.350499, 42.351154, 42.353061)))"
25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",B05001_006,146,69,"list(list(c(-71.173935, -71.171387, -71.170397, -71.169474, -71.162894, -71.161769, -71.162557, -71.162785, -71.164216, -71.165196, -71.167643, -71.167806, -71.167584, -71.167605, -71.168111, -71.169702, -71.174798, -71.173935, 42.353397, 42.356089, 42.357115, 42.358047, 42.357953, 42.35818, 42.355534, 42.354822, 42.355519, 42.353316, 42.353787, 42.352837, 42.351212, 42.350604, 42.350663, 42.349411, 42.350265, 42.353397)))"
